Time,from_ingress_queue_size,to_ingress_queue_size
2998.3067445755005,1,nan
2998.3812503814697,0,1
2998.3812503814697,0,0
7467.655102729797,1,0
7467.729608535767,0,1
7467.729608535767,0,0
10449.887341499329,1,0
10449.961847305298,0,1
10449.961847305298,0,0
11942.003460884094,1,0
11942.077966690063,0,1
11942.077966690063,0,0
20138.642117500305,1,0
20138.716623306274,0,1
20138.716623306274,0,0
20883.700177192688,1,0
20883.774682998657,0,1
20883.774682998657,0,0
23113.874356269836,1,0
23113.948862075806,0,1
23113.948862075806,0,0
25354.048535346985,1,0
25354.123041152954,0,1
25354.123041152954,0,0
35034.80331134796,1,0
35034.87781715393,0,1
35034.87781715393,0,0
36524.91943073273,1,0
36524.993936538696,0,1
36524.993936538696,0,0
37273.97749042511,1,0
37274.05199623108,0,1
37274.05199623108,0,0
44725.55808734894,1,0
44725.63259315491,0,1
44725.63259315491,0,0
46955.73226642609,1,0
46955.806772232056,0,1
46955.806772232056,0,0
47704.79032611847,1,0
47704.86483192444,0,1
47704.86483192444,0,0
48450.84838581085,1,0
48450.92289161682,0,1
48450.92289161682,0,0
56642.48704242706,1,0
56642.56154823303,0,1
56642.56154823303,0,0
58878.66122150421,1,0
58878.73572731018,0,1
58878.73572731018,0,0
59625.719281196594,1,0
59625.79378700256,0,1
59625.79378700256,0,0
60368.77734088898,1,0
60368.851846694946,0,1
60368.851846694946,0,0
69308.47405719757,1,0
69308.54856300354,0,1
69308.54856300354,0,0
70802.59017658234,1,0
70802.6646823883,0,1
70802.6646823883,0,0
73777.82241535187,1,0
73777.89692115784,0,1
73777.89692115784,0,0
74526.88047504425,1,0
74526.95498085022,0,1
74526.95498085022,0,0
86448.80943012238,1,0
86448.88393592834,0,1
86448.88393592834,0,0
87192.86748981476,1,0
87192.94199562073,0,1
87192.94199562073,0,0
87935.92554950714,1,0
87936.00005531311,0,1
87936.00005531311,0,0
101344.97062397003,1,0
101345.045129776,0,1
101345.045129776,0,0
102094.02868366241,1,0
102094.10318946838,0,1
102094.10318946838,0,0
102839.0867433548,1,0
102839.16124916077,0,1
102839.16124916077,0,0
104327.20286273956,1,0
104327.27736854553,0,1
104327.27736854553,0,0
115501.0737581253,1,0
115501.14826393127,0,1
115501.14826393127,0,0
116996.18987751007,1,0
116996.26438331604,0,1
116996.26438331604,0,0
117740.24793720245,1,0
117740.32244300842,0,1
117740.32244300842,0,0
125191.82853412628,1,0
125191.90303993225,0,1
125191.90303993225,0,0
125935.88659381866,1,0
125935.96109962463,0,1
125935.96109962463,0,0
127424.00271320343,1,0
127424.0772190094,0,1
127424.0772190094,0,0
135617.64136981964,1,0
135617.7158756256,0,1
135617.7158756256,0,0
136366.69942951202,1,0
136366.773935318,0,1
136366.773935318,0,0
137854.8155488968,1,0
137854.89005470276,0,1
137854.89005470276,0,0
138602.87360858917,1,0
138602.94811439514,0,1
138602.94811439514,0,0
148283.62838459015,1,0
148283.70289039612,0,1
148283.70289039612,0,0
149032.68644428253,1,0
149032.7609500885,0,1
149032.7609500885,0,0
149778.7445039749,1,0
149778.81900978088,0,1
149778.81900978088,0,0
150523.8025636673,1,0
150523.87706947327,0,1
150523.87706947327,0,0
151265.86062335968,1,0
151265.93512916565,0,1
151265.93512916565,0,0
160949.61539936066,1,0
160949.68990516663,0,1
160949.68990516663,0,0
161698.67345905304,1,0
161698.747964859,0,1
161698.747964859,0,0
162444.73151874542,1,0
162444.8060245514,0,1
162444.8060245514,0,0
173615.60241413116,1,0
173615.67691993713,0,1
173615.67691993713,0,0
174364.66047382355,1,0
174364.73497962952,0,1
174364.73497962952,0,0
175110.71853351593,1,0
175110.7930393219,0,1
175110.7930393219,0,0
176600.8346529007,1,0
176600.90915870667,0,1
176600.90915870667,0,0
186281.58942890167,1,0
186281.66393470764,0,1
186281.66393470764,0,0
187030.64748859406,1,0
187030.72199440002,0,1
