Time,from_ingress_queue_size,to_ingress_queue_size
4583.126834869385,1,nan
4583.871892929077,0,1
4584.871892929077,0,0
6587.126834869385,1,0
6587.871892929077,0,1
6588.871892929077,0,0
9168.998727798462,1,0
9169.743785858154,0,1
9169.743785858154,0,0
10698.877634048462,1,0
10699.622692108154,0,1
10700.622692108154,0,0
13750.870620727539,1,0
13751.615678787231,0,1
13751.615678787231,0,0
15282.749526977539,1,0
15283.494585037231,0,1
15283.494585037231,0,0
18333.742513656616,1,0
18334.48757171631,0,1
18334.48757171631,0,0
19864.621419906616,1,0
19865.36647796631,0,1
19866.36647796631,0,0
21388.500326156616,1,0
21389.24538421631,0,1
21389.24538421631,0,0
22921.614406585693,1,0
22922.359464645386,0,1
22923.359464645386,0,0
24450.493312835693,1,0
24451.238370895386,0,1
24452.238370895386,0,0
25980.372219085693,1,0
25981.117277145386,0,1
25982.117277145386,0,0
27503.251125335693,1,0
27503.996183395386,0,1
27503.996183395386,0,0
29032.130031585693,1,0
29032.875089645386,0,1
29033.875089645386,0,0
30555.008937835693,1,0
30555.753995895386,0,1
30555.753995895386,0,0
32083.887844085693,1,0
32084.632902145386,0,1
32085.632902145386,0,0
33607.76675033569,1,0
33608.511808395386,0,1
33609.511808395386,0,0
35135.64565658569,1,0
35136.390714645386,0,1
35137.390714645386,0,0
36657.52456283569,1,0
36658.269620895386,0,1
36658.269620895386,0,0
38187.40346908569,1,0
38188.148527145386,0,1
38189.148527145386,0,0
39709.28237533569,1,0
39710.027433395386,0,1
39710.027433395386,0,0
41239.16128158569,1,0
41239.906339645386,0,1
41240.906339645386,0,0
42761.04018783569,1,0
42761.785245895386,0,1
42761.785245895386,0,0
44290.91909408569,1,0
44291.664152145386,0,1
44292.664152145386,0,0
45812.79800033569,1,0
45813.543058395386,0,1
45813.543058395386,0,0
47342.67690658569,1,0
47343.421964645386,0,1
47344.421964645386,0,0
48864.55581283569,1,0
48865.300870895386,0,1
48865.300870895386,0,0
50394.43471908569,1,0
50395.179777145386,0,1
50396.179777145386,0,0
51916.31362533569,1,0
51917.058683395386,0,1
51917.058683395386,0,0
53446.19253158569,1,0
53446.937589645386,0,1
53447.937589645386,0,0
54968.07143783569,1,0
54968.816495895386,0,1
54968.816495895386,0,0
56497.95034408569,1,0
56498.695402145386,0,1
56499.695402145386,0,0
58019.82925033569,1,0
58020.574308395386,0,1
58020.574308395386,0,0
59549.70815658569,1,0
59550.453214645386,0,1
59551.453214645386,0,0
61071.58706283569,1,0
61072.332120895386,0,1
61072.332120895386,0,0
62601.46596908569,1,0
62602.211027145386,0,1
62603.211027145386,0,0
64123.34487533569,1,0
64124.089933395386,0,1
64124.089933395386,0,0
65653.2237815857,1,0
65653.96883964539,0,1
65654.96883964539,0,0
67175.1026878357,1,0
67175.84774589539,0,1
67175.84774589539,0,0
68704.9815940857,1,0
68705.72665214539,0,1
68706.72665214539,0,0
70226.8605003357,1,0
70227.60555839539,0,1
70227.60555839539,0,0
71756.7394065857,1,0
71757.48446464539,0,1
71758.48446464539,0,0
73278.6183128357,1,0
73279.36337089539,0,1
73279.36337089539,0,0
74808.4972190857,1,0
74809.24227714539,0,1
74810.24227714539,0,0
76330.3761253357,1,0
76331.12118339539,0,1
76331.12118339539,0,0
77860.2550315857,1,0
77861.00008964539,0,1
77862.00008964539,0,0
79382.1339378357,1,0
79382.87899589539,0,1
79382.87899589539,0,0
80912.0128440857,1,0
80912.75790214539,0,1
80913.75790214539,0,0
82433.8917503357,1,0
82434.63680839539,0,1
82434.63680839539,0,0
83963.7706565857,1,0
83964.51571464539,0,1
83965.51571464539,0,0
85485.6495628357,1,0
85486.39462089539,0,1
85486.39462089539,0,0
87015.5284690857,1,0
87016.27352714539,0,1
87017.27352714539,0,0
88537.4073753357,1,0
88538.15243339539,0,1
88538.15243339539,0,0
90067.2862815857,1,0
90068.03133964539,0,1
90069.03133964539,0,0
91589.1651878357,1,0
91589.91024589539,0,1
91589.91024589539,0,0
93119.0440940857,1,0
93119.78915214539,0,1
93120.78915214539,0,0
94640.9230003357,1,0
94641.66805839539,0,1
94641.66805839539,0,0
96170.8019065857,1,0
96171.54696464539,0,1
96172.54696464539,0,0
97692.6808128357,1,0
97693.42587089539,0,1
97693.42587089539,0,0
99222.5597190857,1,0
99223.30477714539,0,1
99224.30477714539,0,0
100744.4386253357,1,0
100745.18368339539,0,1
100745.18368339539,0,0
102274.3175315857,1,0
102275.06258964539,0,1
102276.06258964539,0,0
103796.1964378357,1,0
103796.94149589539,0,1
103796.94149589539,0,0
105326.0753440857,1,0
105326.82040214539,0,1
105327.82040214539,0,0
106847.9542503357,1,0
106848.69930839539,0,1
106848.69930839539,0,0
108377.8331565857,1,0
108378.57821464539,0,1
108379.57821464539,0,0
109899.7120628357,1,0
109900.45712089539,0,1
109900.45712089539,0,0
111429.5909690857,1,0
111430.33602714539,0,1
111431.33602714539,0,0
112951.4698753357,1,0
112952.21493339539,0,1
112952.21493339539,0,0
114481.3487815857,1,0
114482.09383964539,0,1
114483.09383964539,0,0
116003.2276878357,1,0
116003.97274589539,0,1
116003.97274589539,0,0
117533.1065940857,1,0
117533.85165214539,0,1
117534.85165214539,0,0
119054.9855003357,1,0
119055.73055839539,0,1
119055.73055839539,0,0
120584.8644065857,1,0
120585.60946464539,0,1
120586.60946464539,0,0
122106.7433128357,1,0
122107.48837089539,0,1
122107.48837089539,0,0
123636.6222190857,1,0
123637.36727714539,0,1
123638.36727714539,0,0
125158.5011253357,1,0
125159.24618339539,0,1
125159.24618339539,0,0
126688.3800315857,1,0
126689.12508964539,0,1
126690.12508964539,0,0
128210.2589378357,1,0
128211.00399589539,0,1
128211.00399589539,0,0
129740.1378440857,1,0
129740.88290214539,0,1
129741.88290214539,0,0
131262.0167503357,1,0
131262.7618083954,0,1
131262.7618083954,0,0
132791.8956565857,1,0
132792.6407146454,0,1
132793.6407146454,0,0
134313.7745628357,1,0
134314.5196208954,0,1
134314.5196208954,0,0
135843.6534690857,1,0
135844.3985271454,0,1
135845.3985271454,0,0
137365.5323753357,1,0
137366.2774333954,0,1
137366.2774333954,0,0
138895.4112815857,1,0
138896.1563396454,0,1
138897.1563396454,0,0
140417.2901878357,1,0
140418.0352458954,0,1
140418.0352458954,0,0
141947.1690940857,1,0
141947.9141521454,0,1
141948.9141521454,0,0
143469.0480003357,1,0
143469.7930583954,0,1
143469.7930583954,0,0
144998.9269065857,1,0
144999.6719646454,0,1
145000.6719646454,0,0
146520.8058128357,1,0
146521.5508708954,0,1
146521.5508708954,0,0
148050.6847190857,1,0
148051.4297771454,0,1
148052.4297771454,0,0
149572.5636253357,1,0
149573.3086833954,0,1
149573.3086833954,0,0
151102.4425315857,1,0
151103.1875896454,0,1
151104.1875896454,0,0
152624.3214378357,1,0
152625.0664958954,0,1
152625.0664958954,0,0
154154.2003440857,1,0
154154.9454021454,0,1
154155.9454021454,0,0
155676.0792503357,1,0
155676.8243083954,0,1
155676.8243083954,0,0
157205.9581565857,1,0
157206.7032146454,0,1
157207.7032146454,0,0
158727.8370628357,1,0
158728.5821208954,0,1
158728.5821208954,0,0
160263.95114326477,1,0
160264.69620132446,0,1
160265.69620132446,0,0
161790.83004951477,1,0
161791.57510757446,0,1
161791.57510757446,0,0
163320.70895576477,1,0
163321.45401382446,0,1
163322.45401382446,0,0
164848.82303619385,1,0
164849.56809425354,0,1
164849.56809425354,0,0
166378.70194244385,1,0
166379.44700050354,0,1
166380.44700050354,0,0
167903.58084869385,1,0
167904.32590675354,0,1
167905.32590675354,0,0
169431.45975494385,1,0
169432.20481300354,0,1
169433.20481300354,0,0
170965.57383537292,1,0
170966.31889343262,0,1
170966.31889343262,0,0
172493.45274162292,1,0
172494.19779968262,0,1
172495.19779968262,0,0
174018.33164787292,1,0
174019.07670593262,0,1
174019.07670593262,0,0
175552.445728302,1,0
175553.1907863617,0,1
175554.1907863617,0,0
177079.324634552,1,0
177080.0696926117,0,1
177081.0696926117,0,0
178604.203540802,1,0
178604.9485988617,0,1
178604.9485988617,0,0
180131.082447052,1,0
180131.8275051117,0,1
180132.8275051117,0,0
181656.961353302,1,0
181657.7064113617,0,1
181658.7064113617,0,0
183181.840259552,1,0
183182.5853176117,0,1
183182.5853176117,0,0
184708.719165802,1,0
184709.4642238617,0,1
184710.4642238617,0,0
186234.598072052,1,0
186235.3431301117,0,1
186236.3431301117,0,0
187759.476978302,1,0
187760.2220363617,0,1
187760.2220363617,0,0
189285.355884552,1,0
189286.1009426117,0,1
189287.1009426117,0,0
190813.234790802,1,0
190813.9798488617,0,1
190814.9798488617,0,0
192335.113697052,1,0
192335.8587551117,0,1
192335.8587551117,0,0
193864.992603302,1,0
193865.7376613617,0,1
193866.7376613617,0,0
195386.871509552,1,0
195387.6165676117,0,1
195387.6165676117,0,0
196916.750415802,1,0
196917.4954738617,0,1
196918.4954738617,0,0
198438.629322052,1,0
198439.3743801117,0,1
198439.3743801117,0,0
199968.508228302,1,0
199969.2532863617,0,1
199970.2532863617,0,0
201490.387134552,1,0
201491.1321926117,0,1
201491.1321926117,0,0
203020.266040802,1,0
203021.0110988617,0,1
203022.0110988617,0,0
204542.144947052,1,0
204542.8900051117,0,1
204542.8900051117,0,0
206072.023853302,1,0
206072.7689113617,0,1
206073.7689113617,0,0
207593.902759552,1,0
207594.6478176117,0,1
207594.6478176117,0,0
209123.781665802,1,0
209124.5267238617,0,1
209125.5267238617,0,0
210645.660572052,1,0
210646.4056301117,0,1
210646.4056301117,0,0
212175.539478302,1,0
212176.2845363617,0,1
212177.2845363617,0,0
213697.418384552,1,0
213698.1634426117,0,1
213698.1634426117,0,0
215227.297290802,1,0
215228.0423488617,0,1
215229.0423488617,0,0
216749.176197052,1,0
216749.9212551117,0,1
216749.9212551117,0,0
218279.055103302,1,0
218279.8001613617,0,1
218280.8001613617,0,0
219800.934009552,1,0
219801.6790676117,0,1
219801.6790676117,0,0
221330.812915802,1,0
221331.5579738617,0,1
221332.5579738617,0,0
222852.691822052,1,0
222853.4368801117,0,1
222853.4368801117,0,0
224382.570728302,1,0
224383.3157863617,0,1
224384.3157863617,0,0
225904.449634552,1,0
225905.1946926117,0,1
225905.1946926117,0,0
227434.328540802,1,0
227435.0735988617,0,1
227436.0735988617,0,0
228956.207447052,1,0
228956.9525051117,0,1
228956.9525051117,0,0
230486.086353302,1,0
230486.8314113617,0,1
230487.8314113617,0,0
232007.965259552,1,0
232008.7103176117,0,1
232008.7103176117,0,0
233537.844165802,1,0
233538.5892238617,0,1
233539.5892238617,0,0
235059.723072052,1,0
235060.4681301117,0,1
235060.4681301117,0,0
236589.601978302,1,0
236590.3470363617,0,1
236591.3470363617,0,0
238111.480884552,1,0
238112.2259426117,0,1
238112.2259426117,0,0
239641.359790802,1,0
239642.1048488617,0,1
239643.1048488617,0,0
241163.238697052,1,0
241163.9837551117,0,1
241163.9837551117,0,0
242693.117603302,1,0
242693.8626613617,0,1
242694.8626613617,0,0
244214.996509552,1,0
244215.7415676117,0,1
244215.7415676117,0,0
245744.875415802,1,0
245745.6204738617,0,1
245746.6204738617,0,0
247266.754322052,1,0
247267.4993801117,0,1
247267.4993801117,0,0
248796.633228302,1,0
248797.3782863617,0,1
248798.3782863617,0,0
250318.512134552,1,0
250319.2571926117,0,1
250319.2571926117,0,0
251848.391040802,1,0
251849.1360988617,0,1
251850.1360988617,0,0
253370.269947052,1,0
253371.0150051117,0,1
253371.0150051117,0,0
254900.148853302,1,0
254900.8939113617,0,1
254901.8939113617,0,0
256422.027759552,1,0
256422.7728176117,0,1
256422.7728176117,0,0
257951.906665802,1,0
257952.6517238617,0,1
257953.6517238617,0,0
259473.785572052,1,0
259474.5306301117,0,1
259474.5306301117,0,0
261003.664478302,1,0
261004.4095363617,0,1
261005.4095363617,0,0
262525.543384552,1,0
262526.2884426117,0,1
262526.2884426117,0,0
264055.422290802,1,0
264056.1673488617,0,1
264057.1673488617,0,0
265577.301197052,1,0
265578.0462551117,0,1
265578.0462551117,0,0
267107.180103302,1,0
267107.9251613617,0,1
267108.9251613617,0,0
268629.059009552,1,0
268629.8040676117,0,1
268629.8040676117,0,0
270158.937915802,1,0
270159.6829738617,0,1
270160.6829738617,0,0
271680.816822052,1,0
271681.5618801117,0,1
271681.5618801117,0,0
273210.695728302,1,0
273211.4407863617,0,1
273212.4407863617,0,0
274732.574634552,1,0
274733.3196926117,0,1
274733.3196926117,0,0
276262.453540802,1,0
276263.1985988617,0,1
276264.1985988617,0,0
277784.332447052,1,0
277785.0775051117,0,1
277785.0775051117,0,0
279314.211353302,1,0
279314.9564113617,0,1
279315.9564113617,0,0
280836.090259552,1,0
280836.8353176117,0,1
280836.8353176117,0,0
282365.969165802,1,0
282366.7142238617,0,1
282367.7142238617,0,0
283887.848072052,1,0
283888.5931301117,0,1
283888.5931301117,0,0
285417.726978302,1,0
285418.4720363617,0,1
285419.4720363617,0,0
286939.605884552,1,0
286940.3509426117,0,1
286940.3509426117,0,0
288469.484790802,1,0
288470.2298488617,0,1
288471.2298488617,0,0
289991.363697052,1,0
289992.1087551117,0,1
289992.1087551117,0,0
291521.242603302,1,0
