Time,from_ingress_queue_size,to_ingress_queue_size
3051.7578125,4096,nan
6103.515625,0,4096
6103.515625,0,0
6104.515625,4096,0
9155.2734375,8192,0
9156.2734375,4096,4096
9156.2734375,4096,0
12207.03125,8192,0
12208.03125,4096,4096
12208.03125,4096,0
15258.7890625,8192,0
15259.7890625,4096,4096
15259.7890625,4096,0
18311.546875,0,4096
18311.546875,0,0
18314.291933059692,4096,0
21366.049745559692,0,4096
21366.049745559692,0,0
21367.794803619385,4096,0
24419.552616119385,0,4096
24419.552616119385,0,0
24421.297674179077,4096,0
27473.055486679077,0,4096
27473.055486679077,4096,0
30523.813299179077,8192,0
30524.813299179077,4096,4096
30524.813299179077,4096,0
33575.57111167908,8192,0
33576.57111167908,4096,4096
33576.57111167908,4096,0
36627.32892417908,8192,0
36628.32892417908,4096,4096
36628.32892417908,4096,0
39679.08673667908,8192,0
39680.08673667908,4096,4096
39680.08673667908,4096,0
42730.84454917908,8192,0
42731.84454917908,4096,4096
42731.84454917908,4096,0
45782.60236167908,8192,0
45783.60236167908,4096,4096
45783.60236167908,4096,0
48834.36017417908,8192,0
48835.36017417908,4096,4096
48835.36017417908,4096,0
51886.11798667908,8192,0
51887.11798667908,4096,4096
51887.11798667908,4096,0
54937.87579917908,8192,0
54938.87579917908,4096,4096
54938.87579917908,4096,0
57989.63361167908,8192,0
57990.63361167908,4096,4096
57990.63361167908,4096,0
61041.39142417908,8192,0
61042.39142417908,4096,4096
61042.39142417908,4096,0
64093.14923667908,8192,0
64094.14923667908,4096,4096
64094.14923667908,4096,0
67144.90704917908,8192,0
67145.90704917908,4096,4096
67145.90704917908,4096,0
70196.66486167908,8192,0
70197.66486167908,4096,4096
70197.66486167908,4096,0
73248.42267417908,8192,0
73249.42267417908,4096,4096
73249.42267417908,4096,0
76300.18048667908,8192,0
76301.18048667908,4096,4096
76301.18048667908,4096,0
79351.93829917908,8192,0
79352.93829917908,4096,4096
79352.93829917908,4096,0
82403.69611167908,8192,0
82404.69611167908,4096,4096
82404.69611167908,4096,0
85455.45392417908,8192,0
85456.45392417908,4096,4096
85456.45392417908,4096,0
88507.21173667908,8192,0
88508.21173667908,4096,4096
88508.21173667908,4096,0
91558.96954917908,8192,0
91559.96954917908,4096,4096
91559.96954917908,4096,0
94610.72736167908,8192,0
94611.72736167908,4096,4096
94611.72736167908,4096,0
97662.48517417908,8192,0
97663.48517417908,4096,4096
97663.48517417908,4096,0
100714.24298667908,8192,0
100715.24298667908,4096,4096
100715.24298667908,4096,0
103766.00079917908,8192,0
103767.00079917908,4096,4096
103767.00079917908,4096,0
106817.75861167908,8192,0
106818.75861167908,4096,4096
106818.75861167908,4096,0
109870.51642417908,0,4096
109870.51642417908,0,0
109873.26148223877,4096,0
112925.01929473877,0,4096
112925.01929473877,0,0
112926.76435279846,4096,0
115978.52216529846,0,4096
115978.52216529846,0,0
115980.26722335815,4096,0
119032.02503585815,0,4096
119032.02503585815,0,0
119033.77009391785,4096,0
122085.52790641785,0,4096
122085.52790641785,4096,0
125137.28571891785,0,4096
125137.28571891785,0,0
125140.03077697754,4096,0
128191.78858947754,0,4096
128191.78858947754,0,0
128193.53364753723,4096,0
131245.29146003723,0,4096
131245.29146003723,0,0
131247.03651809692,4096,0
134298.79433059692,0,4096
134298.79433059692,4096,0
137350.55214309692,0,4096
137350.55214309692,0,0
137353.29720115662,4096,0
140405.05501365662,0,4096
140405.05501365662,0,0
140406.8000717163,4096,0
143458.5578842163,0,4096
143458.5578842163,0,0
143460.302942276,4096,0
146512.060754776,0,4096
146512.060754776,4096,0
149562.818567276,8192,0
149563.818567276,4096,4096
149563.818567276,4096,0
152614.576379776,8192,0
152615.576379776,4096,4096
152615.576379776,4096,0
155666.334192276,8192,0
155667.334192276,4096,4096
155667.334192276,4096,0
158718.092004776,8192,0
158719.092004776,4096,4096
158719.092004776,4096,0
161769.849817276,8192,0
161770.849817276,4096,4096
161770.849817276,4096,0
164821.607629776,8192,0
164822.607629776,4096,4096
164822.607629776,4096,0
167873.365442276,8192,0
167874.365442276,4096,4096
167874.365442276,4096,0
170925.123254776,8192,0
170926.123254776,4096,4096
170926.123254776,4096,0
173976.881067276,8192,0
173977.881067276,4096,4096
173977.881067276,4096,0
177028.638879776,8192,0
177029.638879776,4096,4096
177029.638879776,4096,0
180080.396692276,8192,0
180081.396692276,4096,4096
180081.396692276,4096,0
183132.154504776,8192,0
183133.154504776,4096,4096
183133.154504776,4096,0
186183.912317276,8192,0
186184.912317276,4096,4096
