Time,from_ingress_queue_size,to_ingress_queue_size
9158.763553619385,1,nan
9159.508611679077,0,1
9159.508611679077,0,0
12210.521366119385,1,0
12211.266424179077,0,1
12211.266424179077,0,0
15262.279178619385,1,0
15263.024236679077,0,1
15263.024236679077,0,0
18318.272165298462,1,0
18319.017223358154,0,1
18319.017223358154,0,0
21370.029977798462,1,0
21370.775035858154,0,1
21370.775035858154,0,0
27477.78077697754,1,0
27478.52583503723,0,1
27478.52583503723,0,0
30529.53858947754,1,0
30530.28364753723,0,1
30530.28364753723,0,0
36637.289388656616,1,0
36638.03444671631,0,1
36638.03444671631,0,0
39689.047201156616,1,0
39689.79225921631,0,1
39689.79225921631,0,0
42740.805013656616,1,0
42741.55007171631,0,1
42741.55007171631,0,0
45796.79800033569,1,0
45797.543058395386,0,1
45797.543058395386,0,0
48848.55581283569,1,0
48849.300870895386,0,1
48849.300870895386,0,0
51900.31362533569,1,0
51901.058683395386,0,1
51901.058683395386,0,0
54952.07143783569,1,0
54952.816495895386,0,1
54952.816495895386,0,0
58003.82925033569,1,0
58004.574308395386,0,1
58004.574308395386,0,0
61055.58706283569,1,0
61056.332120895386,0,1
61056.332120895386,0,0
64107.34487533569,1,0
64108.089933395386,0,1
64108.089933395386,0,0
67159.1026878357,1,0
67159.84774589539,0,1
67159.84774589539,0,0
70210.8605003357,1,0
70211.60555839539,0,1
70211.60555839539,0,0
73262.6183128357,1,0
73263.36337089539,0,1
73263.36337089539,0,0
76314.3761253357,1,0
76315.12118339539,0,1
76315.12118339539,0,0
79366.1339378357,1,0
79366.87899589539,0,1
79366.87899589539,0,0
82417.8917503357,1,0
82418.63680839539,0,1
82418.63680839539,0,0
85469.6495628357,1,0
85470.39462089539,0,1
85470.39462089539,0,0
88521.4073753357,1,0
88522.15243339539,0,1
88522.15243339539,0,0
91573.1651878357,1,0
91573.91024589539,0,1
91573.91024589539,0,0
94624.9230003357,1,0
94625.66805839539,0,1
94625.66805839539,0,0
97676.6808128357,1,0
97677.42587089539,0,1
97677.42587089539,0,0
100728.4386253357,1,0
100729.18368339539,0,1
100729.18368339539,0,0
103780.1964378357,1,0
103780.94149589539,0,1
103780.94149589539,0,0
106831.9542503357,1,0
106832.69930839539,0,1
106832.69930839539,0,0
109883.7120628357,1,0
109884.45712089539,0,1
109884.45712089539,0,0
112935.4698753357,1,0
112936.21493339539,0,1
112936.21493339539,0,0
115987.2276878357,1,0
115987.97274589539,0,1
115987.97274589539,0,0
119038.9855003357,1,0
119039.73055839539,0,1
119039.73055839539,0,0
122090.7433128357,1,0
122091.48837089539,0,1
122091.48837089539,0,0
125142.5011253357,1,0
125143.24618339539,0,1
125143.24618339539,0,0
128194.2589378357,1,0
128195.00399589539,0,1
128195.00399589539,0,0
131246.0167503357,1,0
131246.7618083954,0,1
131246.7618083954,0,0
134297.7745628357,1,0
134298.5196208954,0,1
134298.5196208954,0,0
137349.5323753357,1,0
137350.2774333954,0,1
137350.2774333954,0,0
140401.2901878357,1,0
140402.0352458954,0,1
140402.0352458954,0,0
143453.0480003357,1,0
143453.7930583954,0,1
143453.7930583954,0,0
146504.8058128357,1,0
146505.5508708954,0,1
146505.5508708954,0,0
149560.79879951477,1,0
149561.54385757446,0,1
149561.54385757446,0,0
152612.55661201477,1,0
152613.30167007446,0,1
152613.30167007446,0,0
155664.31442451477,1,0
155665.05948257446,0,1
155665.05948257446,0,0
158720.30741119385,1,0
158721.05246925354,0,1
158721.05246925354,0,0
161772.06522369385,1,0
161772.81028175354,0,1
161772.81028175354,0,0
164823.82303619385,1,0
164824.56809425354,0,1
164824.56809425354,0,0
170931.57383537292,1,0
170932.31889343262,0,1
170932.31889343262,0,0
173983.33164787292,1,0
173984.07670593262,0,1
173984.07670593262,0,0
178077.8766137698,1,0
178078.6216718295,0,1
178078.6216718295,0,0
183142.840259552,1,0
183143.5853176117,0,1
183143.5853176117,0,0
187237.38522544887,1,0
187238.13028350857,0,1
187238.13028350857,0,0
192302.34887123108,1,0
192303.09392929077,0,1
192303.09392929077,0,0
195354.10668373108,1,0
195354.85174179077,0,1
195354.85174179077,0,0
198405.86449623108,1,0
198406.60955429077,0,1
198406.60955429077,0,0
201461.85748291016,1,0
