Time,from_ingress_queue_size,to_ingress_queue_size
3052.7578125,1,nan
3053.5028705596924,0,1
3053.5028705596924,0,0
5055.7578125,1,0
5056.502870559692,0,1
5057.502870559692,0,0
6579.63671875,1,0
6580.381776809692,0,1
6580.381776809692,0,0
8107.515625,1,0
8108.260683059692,0,1
8109.260683059692,0,0
9634.884647369385,1,0
9635.629705429077,0,1
9635.629705429077,0,0
11165.763553619385,1,0
11166.508611679077,0,1
11167.508611679077,0,0
12690.642459869385,1,0
12691.387517929077,0,1
12691.387517929077,0,0
14218.521366119385,1,0
14219.266424179077,0,1
14220.266424179077,0,0
15742.400272369385,1,0
15743.145330429077,0,1
15743.145330429077,0,0
17270.279178619385,1,0
17271.024236679077,0,1
17272.024236679077,0,0
18794.158084869385,1,0
18794.903142929077,0,1
18794.903142929077,0,0
20322.036991119385,1,0
20322.782049179077,0,1
20323.782049179077,0,0
21845.915897369385,1,0
21846.660955429077,0,1
21846.660955429077,0,0
23373.794803619385,1,0
23374.539861679077,0,1
23375.539861679077,0,0
24897.673709869385,1,0
24898.418767929077,0,1
24898.418767929077,0,0
26425.552616119385,1,0
26426.297674179077,0,1
26427.297674179077,0,0
27949.431522369385,1,0
27950.176580429077,0,1
27950.176580429077,0,0
29477.310428619385,1,0
29478.055486679077,0,1
29479.055486679077,0,0
31001.189334869385,1,0
31001.934392929077,0,1
31001.934392929077,0,0
32529.068241119385,1,0
32529.813299179077,0,1
32530.813299179077,0,0
34052.947147369385,1,0
34053.69220542908,0,1
34053.69220542908,0,0
35580.826053619385,1,0
35581.57111167908,0,1
35582.57111167908,0,0
37104.704959869385,1,0
37105.45001792908,0,1
37105.45001792908,0,0
38632.583866119385,1,0
38633.32892417908,0,1
38634.32892417908,0,0
40156.462772369385,1,0
40157.20783042908,0,1
40157.20783042908,0,0
41684.341678619385,1,0
41685.08673667908,0,1
41686.08673667908,0,0
43208.220584869385,1,0
43208.96564292908,0,1
43208.96564292908,0,0
44736.099491119385,1,0
44736.84454917908,0,1
44737.84454917908,0,0
46259.978397369385,1,0
46260.72345542908,0,1
46260.72345542908,0,0
47787.857303619385,1,0
47788.60236167908,0,1
47789.60236167908,0,0
49311.736209869385,1,0
49312.48126792908,0,1
49312.48126792908,0,0
50839.615116119385,1,0
50840.36017417908,0,1
50841.36017417908,0,0
52363.494022369385,1,0
52364.23908042908,0,1
52364.23908042908,0,0
53891.372928619385,1,0
53892.11798667908,0,1
53893.11798667908,0,0
55415.251834869385,1,0
55415.99689292908,0,1
55415.99689292908,0,0
56943.130741119385,1,0
56943.87579917908,0,1
56944.87579917908,0,0
58467.009647369385,1,0
58467.75470542908,0,1
58467.75470542908,0,0
59994.888553619385,1,0
59995.63361167908,0,1
59996.63361167908,0,0
61518.767459869385,1,0
61519.51251792908,0,1
61519.51251792908,0,0
63046.646366119385,1,0
63047.39142417908,0,1
63048.39142417908,0,0
64570.525272369385,1,0
64571.27033042908,0,1
64571.27033042908,0,0
66098.40417861938,1,0
66099.14923667908,0,1
66100.14923667908,0,0
67622.28308486938,1,0
67623.02814292908,0,1
67623.02814292908,0,0
69150.16199111938,1,0
69150.90704917908,0,1
69151.90704917908,0,0
70674.04089736938,1,0
70674.78595542908,0,1
70674.78595542908,0,0
72201.91980361938,1,0
72202.66486167908,0,1
72203.66486167908,0,0
73725.79870986938,1,0
73726.54376792908,0,1
73726.54376792908,0,0
75253.67761611938,1,0
75254.42267417908,0,1
75255.42267417908,0,0
76777.55652236938,1,0
76778.30158042908,0,1
76778.30158042908,0,0
78305.43542861938,1,0
78306.18048667908,0,1
78307.18048667908,0,0
79829.31433486938,1,0
