Time,from_ingress_queue_size,to_ingress_queue_size
7956.42,1,nan
7957.16,0,nan
8957.16,0,0
12532.1,1,0
12532.9,0,0
13532.9,0,0
17107.8,1,0
17108.6,0,0
18108.6,0,0
22059,1,0
22059.7,0,0
22440.4,1,0
22441.2,0,0
23059.7,0,0
23441.2,0,0
26636.7,1,0
26637.4,0,0
27018.1,1,0
27018.9,0,0
27637.4,0,0
28018.9,0,0
31214.4,1,0
31215.1,0,0
31595.8,1,0
31596.6,0,0
32215.1,0,0
32596.6,0,0
36161.5,1,0
36162.3,0,0
36543,1,0
36543.7,0,0
36924.5,1,0
36925.2,0,0
37162.3,0,0
37543.7,0,0
37925.2,0,0
40739.2,1,0
40740,0,0
41120.7,1,0
41121.4,0,0
41502.2,1,0
41502.9,0,0
41740,0,0
42121.4,0,0
42502.9,0,0
45316.9,1,0
45317.7,0,0
45698.4,1,0
45699.1,0,0
46079.9,1,0
46080.6,0,0
46317.7,0,0
46699.1,0,0
47080.6,0,0
50276.1,1,0
50276.8,0,0
50657.6,1,0
50658.3,0,0
51038,1,0
51038.8,0,0
51276.8,0,0
51658.3,0,0
52038.8,0,0
54853.8,1,0
54854.5,0,0
55235.2,1,0
55236,0,0
55615.7,1,0
55616.5,0,0
55854.5,0,0
56236,0,0
56616.5,0,0
59431.5,1,0
59432.2,0,0
59812.9,1,0
59813.7,0,0
60193.4,1,0
60194.2,0,0
60432.2,0,0
60574.9,1,0
60575.6,0,0
60813.7,0,0
61194.2,0,0
61575.6,0,0
64388.6,1,0
64389.4,0,0
64769.1,1,0
64769.8,0,0
65150.6,1,0
65151.3,0,0
65389.4,0,0
65532,1,0
65532.8,0,0
65769.8,0,0
66151.3,0,0
66532.8,0,0
68966.3,1,0
68967.1,0,0
69346.8,1,0
69347.5,0,0
69728.3,1,0
69729,0,0
69967.1,0,0
70109.7,1,0
70110.5,0,0
70347.5,0,0
70729,0,0
71110.5,0,0
73544,1,0
73544.8,0,0
73924.5,1,0
73925.2,0,0
74306,1,0
74306.7,0,0
74544.8,0,0
74687.4,1,0
74688.2,0,0
74925.2,0,0
75306.7,0,0
75688.2,0,0
78492.2,1,0
78492.9,0,0
78873.7,1,0
78874.4,0,0
79255.1,1,0
79255.9,0,0
79492.9,0,0
79636.6,1,0
79637.3,0,0
79874.4,0,0
80018.1,1,0
80018.8,0,0
80255.9,0,0
80637.3,0,0
81018.8,0,0
83449.4,1,0
83450.1,0,0
83830.8,1,0
83831.6,0,0
84212.3,1,0
84213,0,0
84450.1,0,0
84593.8,1,0
84594.5,0,0
84831.6,0,0
85213,0,0
85594.5,0,0
88025,1,0
88025.8,0,0
88406.5,1,0
88407.3,0,0
88788,1,0
88788.7,0,0
89025.8,0,0
89169.5,1,0
89170.2,0,0
89407.3,0,0
89550.9,1,0
89551.7,0,0
89788.7,0,0
90170.2,0,0
90551.7,0,0
92600.7,1,0
92601.5,0,0
92982.2,1,0
92983,0,0
93363.7,1,0
93364.4,0,0
93601.5,0,0
93745.2,1,0
93745.9,0,0
93983,0,0
94126.6,1,0
94127.4,0,0
94364.4,0,0
94745.9,0,0
95127.4,0,0
97176.4,1,0
97177.2,0,0
97557.9,1,0
97558.7,0,0
97939.4,1,0
97940.1,0,0
98177.2,0,0
98320.8,1,0
98321.6,0,0
98558.7,0,0
98702.3,1,0
98703.1,0,0
98940.1,0,0
99321.6,0,0
99703.1,0,0
101752,1,0
101753,0,0
102134,1,0
102134,0,0
102515,1,0
102516,0,0
102753,0,0
102897,1,0
102897,0,0
103134,0,0
103278,1,0
103279,0,0
103516,0,0
103660,1,0
103661,0,0
103897,0,0
104279,0,0
104661,0,0
106330,1,0
106331,0,0
106711,1,0
106712,0,0
107093,1,0
107093,0,0
107331,0,0
107474,1,0
107475,0,0
107712,0,0
107856,1,0
107856,0,0
108093,0,0
108237,1,0
108238,0,0
108475,0,0
108856,0,0
109238,0,0
110907,1,0
