Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
host-1--host-2, 30720, 30720, 17.7659, 19.4627, 11760
host-1--host-3, 30720, 30720, 17.3965, 19.4627, 11760
host-1--host-4, 30720, 30720, 17.1613, 18.9221, 12096
host-1--host-5, 30720, 30720, 16.5311, 16.4805, 13888
host-2--host-1, 30720, 30720, 18.8268, 21.5115, 10640
host-2--host-3, 30720, 30720, 19.4912, 21.2874, 10752
host-2--host-4, 30720, 30720, 18.7918, 19.8407, 11536
host-2--host-5, 30720, 30720, 19.558, 19.6499, 11648
host-3--host-1, 30720, 30720, 19.2657, 18.7485, 12208
host-3--host-2, 30720, 30720, 22.6791, 22.2129, 10304
host-3--host-4, 30720, 30720, 20.0381, 19.6499, 11648
host-3--host-5, 30720, 30720, 20.3565, 18.0848, 12656
host-4--host-1, 30720, 30720, 17.0154, 18.9221, 12096
host-4--host-2, 30720, 30720, 17.1086, 18.9221, 12096
host-4--host-3, 30720, 30720, 18.0619, 18.9221, 12096
host-4--host-5, 30720, 30720, 17.7125, 17.6171, 12992
host-5--host-1, 30720, 30720, 28.9386, 16.4805, 13888
host-5--host-2, 30720, 30720, 18.4097, 17.3185, 13216
host-5--host-3, 30720, 30720, 18.4097, 17.3185, 13216
host-5--host-4, 30720, 30720, 18.383, 17.4666, 13104
