Time,from_ingress_queue_size,to_ingress_queue_size
2998.3067445755005,1,nan
2998.3812503814697,0,1
2998.3812503814697,0,0
7467.655102729797,1,0
7467.729608535767,0,1
7467.729608535767,0,0
10449.887341499329,1,0
10449.961847305298,0,1
10449.961847305298,0,0
11942.003460884094,1,0
11942.077966690063,0,1
11942.077966690063,0,0
20138.642117500305,1,0
20138.716623306274,0,1
20138.716623306274,0,0
20883.700177192688,1,0
20883.774682998657,0,1
20883.774682998657,0,0
23113.874356269836,1,0
23113.948862075806,0,1
23113.948862075806,0,0
25354.048535346985,1,0
25354.123041152954,0,1
25354.123041152954,0,0
35779.861371040344,1,0
35779.93587684631,0,1
35779.93587684631,0,0
43979.500027656555,1,0
43979.574533462524,0,1
43979.574533462524,0,0
45467.61614704132,1,0
45467.69065284729,0,1
45467.69065284729,0,0
54406.312863349915,1,0
54406.387369155884,0,1
54406.387369155884,0,0
55898.42898273468,1,0
55898.50348854065,0,1
55898.50348854065,0,0
67076.29987812042,1,0
67076.37438392639,0,1
67076.37438392639,0,0
68567.41599750519,1,0
68567.49050331116,0,1
68567.49050331116,0,0
69311.47405719757,1,0
69311.54856300354,0,1
69311.54856300354,0,0
81973.46107196808,1,0
81973.53557777405,0,1
81973.53557777405,0,0
82722.51913166046,1,0
82722.59363746643,0,1
82722.59363746643,0,0
90914.15778827667,1,0
90914.23229408264,0,1
90914.23229408264,0,0
92409.27390766144,1,0
92409.3484134674,0,1
92409.3484134674,0,0
93896.3900270462,1,0
93896.46453285217,0,1
93896.46453285217,0,0
102090.02868366241,1,0
102090.10318946838,0,1
102090.10318946838,0,0
103585.14480304718,1,0
103585.21930885315,0,1
103585.21930885315,0,0
104329.20286273956,1,0
104329.27736854553,0,1
104329.27736854553,0,0
105072.26092243195,1,0
105072.33542823792,0,1
105072.33542823792,0,0
114756.01569843292,1,0
114756.09020423889,0,1
114756.09020423889,0,0
116251.13181781769,1,0
116251.20632362366,0,1
116251.20632362366,0,0
116995.18987751007,1,0
116995.26438331604,0,1
116995.26438331604,0,0
117738.24793720245,1,0
117738.32244300842,0,1
117738.32244300842,0,0
129657.17689228058,1,0
129657.25139808655,0,1
129657.25139808655,0,0
130402.23495197296,1,0
130402.30945777893,0,1
130402.30945777893,0,0
131894.35107135773,1,0
131894.4255771637,0,1
131894.4255771637,0,0
132639.4091310501,1,0
132639.48363685608,0,1
132639.48363685608,0,0
133384.4671907425,1,0
133384.54169654846,0,1
133384.54169654846,0,0
148288.62838459015,1,0
148288.70289039612,0,1
148288.70289039612,0,0
149028.68644428253,1,0
149028.7609500885,0,1
149028.7609500885,0,0
150523.8025636673,1,0
150523.87706947327,0,1
150523.87706947327,0,0
151267.86062335968,1,0
151267.93512916565,0,1
151267.93512916565,0,0
152012.91868305206,1,0
152012.99318885803,0,1
152012.99318885803,0,0
152755.97674274445,1,0
152756.05124855042,0,1
152756.05124855042,0,0
163184.7895784378,1,0
163184.86408424377,0,1
163184.86408424377,0,0
163933.8476381302,1,0
163933.92214393616,0,1
163933.92214393616,0,0
164679.90569782257,1,0
164679.98020362854,0,1
164679.98020362854,0,0
166167.02181720734,1,0
166167.0963230133,0,1
166167.0963230133,0,0
175854.7765932083,1,0
175854.85109901428,0,1
175854.85109901428,0,0
176599.8346529007,1,0
176599.90915870667,0,1
176599.90915870667,0,0
177342.89271259308,1,0
177342.96721839905,0,1
177342.96721839905,0,0
179581.06689167023,1,0
179581.1413974762,0,1
179581.1413974762,0,0
181068.183011055,1,0
181068.25751686096,0,1
181068.25751686096,0,0
192247.05390644073,1,0
192247.1284122467,0,1
192247.1284122467,0,0
192992.11196613312,1,0
192992.1864719391,0,1
192992.1864719391,0,0
193734.1700258255,1,0
193734.24453163147,0,1
193734.24453163147,0,0
194482.22808551788,1,0
194482.30259132385,0,1
194482.30259132385,0,0
195972.34420490265,1,0
195972.41871070862,0,1
