Time,from_ingress_queue_size,to_ingress_queue_size
4917.422863960266,1,nan
4917.497369766235,0,1
4917.497369766235,0,0
9383.771222114563,1,0
9383.845727920532,0,1
9383.845727920532,0,0
13856.550168991089,1,0
13856.624674797058,0,1
13856.624674797058,0,0
16090.293759346008,1,0
16090.368265151978,0,1
16090.368265151978,0,0
27269.16465473175,1,0
27269.23916053772,0,1
27269.23916053772,0,0
29501.3388338089,1,0
29501.413339614868,0,1
29501.413339614868,0,0
30250.39689350128,1,0
30250.47139930725,0,1
30250.47139930725,0,0
31740.513012886047,1,0
31740.587518692017,0,1
31740.587518692017,0,0
39932.15166950226,1,0
39932.22617530823,0,1
39932.22617530823,0,0
42167.32584857941,1,0
42167.400354385376,0,1
42167.400354385376,0,0
51108.022564888,1,0
51108.09707069397,0,1
51108.09707069397,0,0
54088.25480365753,1,0
54088.3293094635,0,1
54088.3293094635,0,0
66009.18375873566,1,0
66009.25826454163,0,1
66009.25826454163,0,0
67500.29987812042,1,0
67500.37438392639,0,1
67500.37438392639,0,0
80165.28689289093,1,0
80165.3613986969,0,1
80165.3613986969,0,0
81659.4030122757,1,0
81659.47751808167,0,1
81659.47751808167,0,0
94321.3900270462,1,0
94321.46453285217,0,1
94321.46453285217,0,0
95066.44808673859,1,0
95066.52259254456,0,1
95066.52259254456,0,0
95811.50614643097,1,0
95811.58065223694,0,1
95811.58065223694,0,0
107732.4351015091,1,0
107732.50960731506,0,1
107732.50960731506,0,0
109226.55122089386,1,0
109226.62572669983,0,1
109226.62572669983,0,0
109971.60928058624,1,0
109971.68378639221,0,1
109971.68378639221,0,0
110716.66734027863,1,0
110716.7418460846,0,1
110716.7418460846,0,0
121143.48017597198,1,0
121143.55468177795,0,1
121143.55468177795,0,0
121888.53823566437,1,0
121888.61274147034,0,1
121888.61274147034,0,0
133068.4091310501,1,0
133068.48363685608,0,1
133068.48363685608,0,0
134555.52525043488,1,0
134555.59975624084,0,1
134555.59975624084,0,0
135299.58331012726,1,0
135299.65781593323,0,1
135299.65781593323,0,0
146477.454205513,1,0
146477.52871131897,0,1
146477.52871131897,0,0
147966.57032489777,1,0
147966.64483070374,0,1
147966.64483070374,0,0
148710.62838459015,1,0
148710.70289039612,0,1
148710.70289039612,0,0
156163.20898151398,1,0
156163.28348731995,0,1
156163.28348731995,0,0
156908.26704120636,1,0
156908.34154701233,0,1
156908.34154701233,0,0
167339.07987689972,1,0
167339.1543827057,0,1
167339.1543827057,0,0
168084.1379365921,1,0
168084.21244239807,0,1
168084.21244239807,0,0
168828.19599628448,1,0
168828.27050209045,0,1
168828.27050209045,0,0
180750.1249513626,1,0
180750.19945716858,0,1
180750.19945716858,0,0
181495.183011055,1,0
181495.25751686096,0,1
181495.25751686096,0,0
182239.24107074738,1,0
182239.31557655334,0,1
182239.31557655334,0,0
182984.29913043976,1,0
182984.37363624573,0,1
182984.37363624573,0,0
197143.40226459503,1,0
197143.476770401,0,1
197143.476770401,0,0
197886.4603242874,1,0
197886.53483009338,0,1
197886.53483009338,0,0
198631.5183839798,1,0
198631.59288978577,0,1
198631.59288978577,0,0
209807.38927936554,1,0
209807.4637851715,0,1
209807.4637851715,0,0
210552.44733905792,1,0
210552.5218448639,0,1
210552.5218448639,0,0
220240.2021150589,1,0
220240.27662086487,0,1
220240.27662086487,0,0
220983.26017475128,1,0
220983.33468055725,0,1
220983.33468055725,0,0
231415.07301044464,1,0
231415.1475162506,0,1
