Time,from_ingress_queue_size,to_ingress_queue_size
3816.6972656249995,1,nan
3824.1478462219234,0,nan
3825.1478462219234,0,0
5816.697265625,1,0
5824.147846221924,0,0
5825.147846221924,0,0
7726.0458984375,1,0
7733.496479034424,0,0
7734.496479034424,0,0
9633.39453125,1,0
9640.845111846924,0,0
9641.845111846924,0,1
9643.845111846924,0,0
11559.644325256348,1,0
11567.094905853271,0,0
11568.094905853271,0,0
13470.992958068848,1,0
13478.443538665771,0,0
13479.443538665771,0,1
13481.443538665771,0,0
15393.242752075195,1,0
15400.69333267212,0,0
15401.69333267212,0,0
17302.591384887695,1,0
17310.04196548462,0,0
17311.04196548462,0,0
19209.940017700195,1,0
19217.39059829712,0,0
19218.39059829712,0,0
21117.288650512695,1,0
21124.73923110962,0,0
21125.73923110962,0,0
23024.637283325195,1,0
23032.08786392212,0,0
23033.08786392212,0,0
24931.985916137695,1,0
24939.43649673462,0,0
24940.43649673462,0,0
26839.334548950195,1,0
26846.78512954712,0,0
26847.78512954712,0,0
28746.683181762695,1,0
28754.13376235962,0,0
28755.13376235962,0,0
30654.031814575195,1,0
30661.48239517212,0,0
30662.48239517212,0,0
32561.380447387695,1,0
32568.83102798462,0,0
32569.83102798462,0,0
34468.729080200195,1,0
34476.17966079712,0,0
34477.17966079712,0,0
36376.077713012695,1,0
36383.52829360962,0,0
36384.52829360962,0,0
38283.426345825195,1,0
38290.87692642212,0,0
38291.87692642212,0,0
40190.774978637695,1,0
40198.22555923462,0,0
40199.22555923462,0,0
42098.123611450195,1,0
42105.57419204712,0,0
42106.57419204712,0,0
44005.472244262695,1,0
44012.92282485962,0,0
44013.92282485962,0,0
45912.820877075195,1,0
45920.27145767212,0,0
45921.27145767212,0,0
47820.169509887695,1,0
47827.62009048462,0,0
47828.62009048462,0,0
49727.518142700195,1,0
49734.96872329712,0,0
49735.96872329712,0,0
51634.866775512695,1,0
51642.31735610962,0,0
51643.31735610962,0,0
53542.215408325195,1,0
53549.66598892212,0,0
53550.66598892212,0,0
55449.564041137695,1,0
55457.01462173462,0,0
55458.01462173462,0,0
57356.912673950195,1,0
57364.36325454712,0,0
57365.36325454712,0,0
59264.261306762695,1,0
59271.71188735962,0,0
59272.71188735962,0,0
61171.609939575195,1,0
61179.06052017212,0,0
61180.06052017212,0,0
63078.958572387695,1,0
63086.40915298462,0,0
63087.40915298462,0,0
64986.307205200195,1,0
64993.75778579712,0,0
64994.75778579712,0,0
66893.6558380127,1,0
66901.10641860962,0,0
66902.10641860962,0,0
68801.0044708252,1,0
68808.45505142212,0,0
68809.45505142212,0,0
70708.3531036377,1,0
70715.80368423462,0,0
70716.80368423462,0,0
72615.7017364502,1,0
72623.15231704712,0,0
72624.15231704712,0,0
74523.0503692627,1,0
74530.50094985962,0,0
74531.50094985962,0,0
76430.3990020752,1,0
76437.84958267212,0,0
76438.84958267212,0,0
78337.7476348877,1,0
78345.19821548462,0,0
78346.19821548462,0,0
80245.0962677002,1,0
80252.54684829712,0,0
80253.54684829712,0,0
82152.4449005127,1,0
82159.89548110962,0,0
82160.89548110962,0,0
84059.7935333252,1,0
84067.24411392212,0,0
84068.24411392212,0,0
85967.1421661377,1,0
85974.59274673462,0,0
85975.59274673462,0,0
87874.4907989502,1,0
87881.94137954712,0,0
87882.94137954712,0,0
89781.8394317627,1,0
89789.29001235962,0,0
89790.29001235962,0,0
91689.1880645752,1,0
91696.63864517212,0,0
91697.63864517212,0,0
93596.5366973877,1,0
93603.98727798462,0,0
93604.98727798462,0,0
95503.8853302002,1,0
95511.33591079712,0,0
95512.33591079712,0,0
97411.2339630127,1,0
97418.68454360962,0,0
97419.68454360962,0,0
99318.5825958252,1,0
99326.03317642212,0,0
99327.03317642212,0,0
101225.9312286377,1,0
101233.38180923462,0,0
101234.38180923462,0,0
103133.2798614502,1,0
103140.73044204712,0,0
103141.73044204712,0,0
105040.6284942627,1,0
105048.07907485962,0,0
105049.07907485962,0,0
106947.9771270752,1,0
106955.42770767212,0,0
106956.42770767212,0,0
108855.3257598877,1,0
108862.77634048462,0,0
108863.77634048462,0,0
110762.6743927002,1,0
110770.12497329712,0,0
110771.12497329712,0,0
112670.0230255127,1,0
112677.47360610962,0,0
112678.47360610962,0,0
114577.3716583252,1,0
114584.82223892212,0,0
114585.82223892212,0,0
116484.7202911377,1,0
116492.17087173462,0,0
116493.17087173462,0,0
118392.0689239502,1,0
118399.51950454712,0,0
118400.51950454712,0,0
120299.4175567627,1,0
120306.86813735962,0,0
120307.86813735962,0,0
122206.7661895752,1,0
122214.21677017212,0,0
122215.21677017212,0,0
124114.1148223877,1,0
124121.56540298462,0,0
124122.56540298462,0,0
126021.4634552002,1,0
126028.91403579712,0,0
126029.91403579712,0,0
127928.8120880127,1,0
127936.26266860962,0,0
127937.26266860962,0,0
129836.1607208252,1,0
129843.61130142212,0,0
129844.61130142212,0,0
131743.5093536377,1,0
131750.95993423462,0,0
131751.95993423462,0,0
133650.8579864502,1,0
133658.30856704712,0,0
133659.30856704712,0,0
135558.2066192627,1,0
135565.65719985962,0,0
135566.65719985962,0,0
137465.5552520752,1,0
137473.00583267212,0,0
137474.00583267212,0,0
139372.9038848877,1,0
139380.35446548462,0,0
139381.35446548462,0,0
141280.2525177002,1,0
141287.70309829712,0,0
141288.70309829712,0,0
143187.6011505127,1,0
143195.05173110962,0,0
143196.05173110962,0,0
145094.9497833252,1,0
145102.40036392212,0,0
145103.40036392212,0,0
147002.2984161377,1,0
147009.74899673462,0,0
147010.74899673462,0,0
148909.6470489502,1,0
148917.09762954712,0,0
148918.09762954712,0,0
150816.9956817627,1,0
150824.44626235962,0,0
150825.44626235962,0,0
152724.3443145752,1,0
152731.79489517212,0,0
152732.79489517212,0,0
154631.6929473877,1,0
154639.14352798462,0,0
154640.14352798462,0,0
156539.0415802002,1,0
156546.49216079712,0,0
156547.49216079712,0,0
158446.3902130127,1,0
158453.84079360962,0,0
158454.84079360962,0,0
160353.7388458252,1,0
160361.18942642212,0,0
160362.18942642212,0,0
162261.0874786377,1,0
162268.53805923462,0,0
162269.53805923462,0,0
164168.4361114502,1,0
164175.88669204712,0,0
164176.88669204712,0,0
166075.7847442627,1,0
166083.23532485962,0,0
166084.23532485962,0,0
167983.1333770752,1,0
167990.58395767212,0,0
167991.58395767212,0,0
169890.4820098877,1,0
169897.93259048462,0,0
169898.93259048462,0,0
171797.8306427002,1,0
171805.28122329712,0,0
171806.28122329712,0,0
173705.1792755127,1,0
173712.62985610962,0,0
173713.62985610962,0,0
175612.5279083252,1,0
175619.97848892212,0,0
175620.97848892212,0,0
177519.8765411377,1,0
177527.32712173462,0,0
177528.32712173462,0,0
179427.2251739502,1,0
179434.67575454712,0,0
179435.67575454712,0,0
181334.5738067627,1,0
181342.02438735962,0,0
181343.02438735962,0,0
183241.9224395752,1,0
183249.37302017212,0,0
183250.37302017212,0,0
185149.2710723877,1,0
185156.72165298462,0,0
185157.72165298462,0,0
187056.6197052002,1,0
187064.07028579712,0,0
187065.07028579712,0,0
188963.9683380127,1,0
188971.41891860962,0,0
188972.41891860962,0,0
190871.3169708252,1,0
190878.76755142212,0,0
190879.76755142212,0,0
192778.6656036377,1,0
192786.11618423462,0,0
192787.11618423462,0,0
194686.0142364502,1,0
194693.46481704712,0,0
194694.46481704712,0,0
196593.3628692627,1,0
196600.81344985962,0,0
196601.81344985962,0,0
198500.7115020752,1,0
198508.16208267212,0,0
198509.16208267212,0,0
200408.0601348877,1,0
200415.51071548462,0,0
200416.51071548462,0,0
202315.4087677002,1,0
202322.85934829712,0,0
202323.85934829712,0,0
204222.7574005127,1,0
204230.20798110962,0,0
204231.20798110962,0,0
206130.1060333252,1,0
206137.55661392212,0,0
206138.55661392212,0,0
208037.4546661377,1,0
208044.90524673462,0,0
208045.90524673462,0,0
209944.8032989502,1,0
209952.25387954712,0,0
209953.25387954712,0,0
211852.1519317627,1,0
211859.60251235962,0,0
211860.60251235962,0,0
213759.5005645752,1,0
213766.95114517212,0,0
213767.95114517212,0,0
215666.8491973877,1,0
215674.29977798462,0,0
215675.29977798462,0,0
217574.1978302002,1,0
217581.64841079712,0,0
217582.64841079712,0,0
219481.5464630127,1,0
219488.99704360962,0,0
219489.99704360962,0,0
221388.8950958252,1,0
221396.34567642212,0,0
221397.34567642212,0,0
223296.2437286377,1,0
223303.69430923462,0,0
223304.69430923462,0,0
225203.5923614502,1,0
225211.04294204712,0,0
225212.04294204712,0,0
227110.9409942627,1,0
227118.39157485962,0,0
227119.39157485962,0,0
229018.2896270752,1,0
229025.74020767212,0,0
229026.74020767212,0,0
230925.6382598877,1,0
230933.08884048462,0,0
230934.08884048462,0,0
232832.9868927002,1,0
232840.43747329712,0,0
232841.43747329712,0,0
234740.3355255127,1,0
234747.78610610962,0,0
234748.78610610962,0,0
236647.6841583252,1,0
236655.13473892212,0,0
236656.13473892212,0,0
238555.0327911377,1,0
238562.48337173462,0,0
238563.48337173462,0,0
240462.3814239502,1,0
240469.83200454712,0,0
240470.83200454712,0,0
242369.7300567627,1,0
242377.18063735962,0,0
242378.18063735962,0,0
244277.0786895752,1,0
244284.52927017212,0,0
244285.52927017212,0,0
246184.4273223877,1,0
246191.87790298462,0,0
246192.87790298462,0,0
248091.7759552002,1,0
248099.22653579712,0,0
248100.22653579712,0,0
249999.1245880127,1,0
250006.57516860962,0,0
250007.57516860962,0,0
251906.4732208252,1,0
251913.92380142212,0,0
251914.92380142212,0,0
253813.8218536377,1,0
253821.27243423462,0,0
253822.27243423462,0,0
255721.1704864502,1,0
255728.62106704712,0,0
255729.62106704712,0,0
257628.5191192627,1,0
257635.96969985962,0,0
257636.96969985962,0,0
259535.8677520752,1,0
259543.31833267212,0,0
259544.31833267212,0,0
261443.2163848877,1,0
261450.66696548462,0,0
261451.66696548462,0,0
263350.5650177002,1,0
263358.0155982971,0,0
263359.0155982971,0,0
265257.9136505127,1,0
265265.3642311096,0,0
265266.3642311096,0,0
267165.2622833252,1,0
267172.7128639221,0,0
267173.7128639221,0,0
269072.6109161377,1,0
269080.0614967346,0,0
269081.0614967346,0,0
270979.9595489502,1,0
270987.4101295471,0,0
270988.4101295471,0,0
272887.3081817627,1,0
272894.7587623596,0,0
272895.7587623596,0,0
274794.6568145752,1,0
274802.1073951721,0,0
274803.1073951721,0,0
276702.0054473877,1,0
276709.4560279846,0,0
276710.4560279846,0,0
278609.3540802002,1,0
278616.8046607971,0,0
278617.8046607971,0,0
280516.7027130127,1,0
280524.1532936096,0,0
280525.1532936096,0,0
282424.0513458252,1,0
282431.5019264221,0,0
282432.5019264221,0,0
284331.3999786377,1,0
284338.8505592346,0,0
284339.8505592346,0,0
286238.7486114502,1,0
286246.1991920471,0,0
286247.1991920471,0,0
288146.0972442627,1,0
288153.5478248596,0,0
288154.5478248596,0,0
290053.4458770752,1,0
290060.8964576721,0,0
290061.8964576721,0,0
291960.7945098877,1,0
291968.2450904846,0,0
291969.2450904846,0,0
293868.1431427002,1,0
293875.5937232971,0,0
293876.5937232971,0,0
295775.4917755127,1,0
295782.9423561096,0,0
295783.9423561096,0,0
297682.8404083252,1,0
297690.2909889221,0,0
297691.2909889221,0,0
299590.1890411377,1,0
299597.6396217346,0,0
299598.6396217346,0,0
301497.5376739502,1,0
301504.9882545471,0,0
301505.9882545471,0,0
303404.8863067627,1,0
303412.3368873596,0,0
303413.3368873596,0,0
305312.2349395752,1,0
305319.6855201721,0,0
305320.6855201721,0,0
307219.5835723877,1,0
307227.0341529846,0,0
307228.0341529846,0,0
309126.9322052002,1,0
309134.3827857971,0,0
309135.3827857971,0,0
311034.2808380127,1,0
311041.7314186096,0,0
311042.7314186096,0,0
312941.6294708252,1,0
312949.0800514221,0,0
312950.0800514221,0,0
314848.9781036377,1,0
314856.4286842346,0,0
314857.4286842346,0,0
316756.3267364502,1,0
316763.7773170471,0,0
316764.7773170471,0,0
318663.6753692627,1,0
318671.1259498596,0,0
318672.1259498596,0,0
320571.0240020752,1,0
320578.4745826721,0,0
320579.4745826721,0,0
322478.3726348877,1,0
322485.8232154846,0,0
322486.8232154846,0,0
324385.7212677002,1,0
324393.1718482971,0,0
324394.1718482971,0,0
326293.0699005127,1,0
326300.5204811096,0,0
326301.5204811096,0,0
328200.4185333252,1,0
328207.8691139221,0,0
328208.8691139221,0,0
330107.7671661377,1,0
330115.2177467346,0,0
330116.2177467346,0,0
332015.1157989502,1,0
332022.5663795471,0,0
332023.5663795471,0,0
333922.4644317627,1,0
333929.9150123596,0,0
333930.9150123596,0,0
335829.8130645752,1,0
335837.2636451721,0,0
335838.2636451721,0,0
337737.1616973877,1,0
337744.6122779846,0,0
337745.6122779846,0,0
339644.5103302002,1,0
339651.9609107971,0,0
339652.9609107971,0,0
341551.8589630127,1,0
341559.3095436096,0,0
341560.3095436096,0,0
343459.2075958252,1,0
343466.6581764221,0,0
343467.6581764221,0,0
345366.5562286377,1,0
345374.0068092346,0,0
345375.0068092346,0,0
347273.9048614502,1,0
347281.3554420471,0,0
347282.3554420471,0,0
349181.2534942627,1,0
349188.7040748596,0,0
349189.7040748596,0,0
351088.6021270752,1,0
351096.0527076721,0,0
351097.0527076721,0,0
352995.9507598877,1,0
353003.4013404846,0,0
353004.4013404846,0,0
354903.2993927002,1,0
354910.7499732971,0,0
354911.7499732971,0,0
356810.6480255127,1,0
356818.0986061096,0,0
356819.0986061096,0,0
358717.9966583252,1,0
358725.4472389221,0,0
358726.4472389221,0,0
360625.3452911377,1,0
360632.7958717346,0,0
360633.7958717346,0,0
362532.6939239502,1,0
362540.1445045471,0,0
362541.1445045471,0,0
364440.0425567627,1,0
364447.4931373596,0,0
364448.4931373596,0,0
366347.3911895752,1,0
366354.8417701721,0,0
366355.8417701721,0,0
368254.7398223877,1,0
368262.1904029846,0,0
368263.1904029846,0,0
370162.0884552002,1,0
370169.5390357971,0,0
370170.5390357971,0,0
372069.4370880127,1,0
372076.8876686096,0,0
372077.8876686096,0,0
373976.7857208252,1,0
373984.2363014221,0,0
373985.2363014221,0,0
375884.1343536377,1,0
375891.5849342346,0,0
375892.5849342346,0,0
377791.4829864502,1,0
377798.9335670471,0,0
377799.9335670471,0,0
379698.8316192627,1,0
379706.2821998596,0,0
379707.2821998596,0,0
381606.1802520752,1,0
381613.6308326721,0,0
381614.6308326721,0,0
383513.5288848877,1,0
383520.9794654846,0,0
383521.9794654846,0,0
385420.8775177002,1,0
385428.3280982971,0,0
385429.3280982971,0,0
387328.2261505127,1,0
387335.6767311096,0,0
387336.6767311096,0,0
389235.5747833252,1,0
389243.0253639221,0,0
389244.0253639221,0,0
391142.9234161377,1,0
391150.3739967346,0,0
391151.3739967346,0,0
393050.2720489502,1,0
393057.7226295471,0,0
393058.7226295471,0,0
394957.6206817627,1,0
394965.0712623596,0,0
394966.0712623596,0,0
396864.9693145752,1,0
396872.4198951721,0,0
396873.4198951721,0,0
398772.3179473877,1,0
398779.7685279846,0,0
398780.7685279846,0,0
400679.6665802002,1,0
400687.1171607971,0,0
400688.1171607971,0,0
402587.0152130127,1,0
402594.4657936096,0,0
402595.4657936096,0,0
404494.3638458252,1,0
404501.8144264221,0,0
404502.8144264221,0,0
406401.7124786377,1,0
406409.1630592346,0,0
406410.1630592346,0,0
408309.0611114502,1,0
408316.5116920471,0,0
408317.5116920471,0,0
410216.4097442627,1,0
410223.8603248596,0,0
410224.8603248596,0,0
412123.7583770752,1,0
412131.2089576721,0,0
412132.2089576721,0,0
414031.1070098877,1,0
414038.5575904846,0,0
414039.5575904846,0,0
415938.4556427002,1,0
415945.9062232971,0,0
415946.9062232971,0,0
417845.8042755127,1,0
417853.2548561096,0,0
417854.2548561096,0,0
419753.1529083252,1,0
419760.6034889221,0,0
419761.6034889221,0,0
421660.5015411377,1,0
421667.9521217346,0,0
421668.9521217346,0,0
423567.8501739502,1,0
423575.3007545471,0,0
423576.3007545471,0,0
425475.1988067627,1,0
425482.6493873596,0,0
425483.6493873596,0,0
427382.5474395752,1,0
427389.9980201721,0,0
427390.9980201721,0,0
429289.8960723877,1,0
429297.3466529846,0,0
429298.3466529846,0,0
431197.2447052002,1,0
431204.6952857971,0,0
431205.6952857971,0,0
433104.5933380127,1,0
433112.0439186096,0,0
433113.0439186096,0,0
435011.9419708252,1,0
435019.3925514221,0,0
435020.3925514221,0,0
436919.2906036377,1,0
436926.7411842346,0,0
436927.7411842346,0,0
438826.6392364502,1,0
438834.0898170471,0,0
438835.0898170471,0,0
440733.9878692627,1,0
440741.4384498596,0,0
440742.4384498596,0,0
442641.3365020752,1,0
442648.7870826721,0,0
442649.7870826721,0,0
444548.6851348877,1,0
444556.1357154846,0,0
444557.1357154846,0,0
446456.0337677002,1,0
446463.4843482971,0,0
446464.4843482971,0,0
448363.3824005127,1,0
448370.8329811096,0,0
448371.8329811096,0,0
450270.7310333252,1,0
450278.1816139221,0,0
450279.1816139221,0,0
452178.0796661377,1,0
452185.5302467346,0,0
452186.5302467346,0,0
454085.4282989502,1,0
454092.8788795471,0,0
454093.8788795471,0,0
455992.7769317627,1,0
456000.2275123596,0,0
456001.2275123596,0,0
457900.1255645752,1,0
457907.5761451721,0,0
457908.5761451721,0,0
459807.4741973877,1,0
459814.9247779846,0,0
459815.9247779846,0,0
461714.8228302002,1,0
461722.2734107971,0,0
461723.2734107971,0,0
463622.1714630127,1,0
463629.6220436096,0,0
463630.6220436096,0,0
465529.5200958252,1,0
465536.9706764221,0,0
465537.9706764221,0,0
467436.8687286377,1,0
467444.3193092346,0,0
467445.3193092346,0,0
469344.2173614502,1,0
469351.6679420471,0,0
469352.6679420471,0,0
471251.5659942627,1,0
471259.0165748596,0,0
471260.0165748596,0,0
473158.9146270752,1,0
473166.3652076721,0,0
473167.3652076721,0,0
475066.2632598877,1,0
475073.7138404846,0,0
475074.7138404846,0,0
476973.6118927002,1,0
476981.0624732971,0,0
476982.0624732971,0,0
478880.9605255127,1,0
478888.4111061096,0,0
478889.4111061096,0,0
480788.3091583252,1,0
480795.7597389221,0,0
480796.7597389221,0,0
482695.6577911377,1,0
482703.1083717346,0,0
482704.1083717346,0,0
484603.0064239502,1,0
484610.4570045471,0,0
484611.4570045471,0,0
486510.3550567627,1,0
486517.8056373596,0,0
486518.8056373596,0,0
488417.7036895752,1,0
488425.1542701721,0,0
488426.1542701721,0,0
490325.0523223877,1,0
490332.5029029846,0,0
490333.5029029846,0,0
492232.4009552002,1,0
492239.8515357971,0,0
492240.8515357971,0,0
494139.7495880127,1,0
494147.2001686096,0,0
494148.2001686096,0,0
496047.0982208252,1,0
496054.5488014221,0,0
496055.5488014221,0,0
497954.4468536377,1,0
497961.8974342346,0,0
497962.8974342346,0,0
499861.7954864502,1,0
499869.2460670471,0,0
499870.2460670471,0,0
501769.1441192627,1,0
501776.5946998596,0,0
501777.5946998596,0,0
503676.4927520752,1,0
503683.9433326721,0,0
503684.9433326721,0,0
505583.8413848877,1,0
505591.2919654846,0,0
505592.2919654846,0,0
507491.1900177002,1,0
507498.6405982971,0,0
507499.6405982971,0,0
509398.5386505127,1,0
509405.9892311096,0,0
509406.9892311096,0,0
511305.8872833252,1,0
511313.3378639221,0,0
511314.3378639221,0,0
513213.2359161377,1,0
513220.6864967346,0,0
513221.6864967346,0,0
515120.5845489502,1,0
515128.0351295471,0,0
515129.0351295471,0,0
517027.9331817627,1,0
517035.3837623596,0,0
517036.3837623596,0,0
518935.2818145752,1,0
518942.7323951721,0,0
518943.7323951721,0,0
520842.6304473877,1,0
520850.0810279846,0,0
520851.0810279846,0,0
522749.9790802002,1,0
522757.4296607971,0,0
522758.4296607971,0,0
524657.3277130127,1,0
524664.7782936096,0,0
524665.7782936096,0,0
526564.6763458252,1,0
526572.1269264221,0,0
526573.1269264221,0,0
