Time,from_ingress_queue_size,to_ingress_queue_size
6105.515625,1,nan
6106.260683059692,0,1
6107.260683059692,0,0
9157.018495559692,1,0
9157.763553619385,0,1
9158.763553619385,0,0
12208.776308059692,1,0
12209.521366119385,0,1
12210.521366119385,0,0
15260.534120559692,1,0
15261.279178619385,0,1
15262.279178619385,0,0
18313.291933059692,1,0
18314.036991119385,0,1
18315.036991119385,0,0
21366.794803619385,1,0
21367.539861679077,0,1
21368.539861679077,0,0
24420.297674179077,1,0
24421.04273223877,0,1
24422.04273223877,0,0
27474.055486679077,1,0
27474.80054473877,0,1
27475.80054473877,0,0
30525.55835723877,1,0
30526.303415298462,0,1
30527.303415298462,0,0
33577.31616973877,1,0
33578.06122779846,0,1
33579.06122779846,0,0
36629.07398223877,1,0
36629.81904029846,0,1
36630.81904029846,0,0
39680.83179473877,1,0
39681.57685279846,0,1
39682.57685279846,0,0
42732.58960723877,1,0
42733.33466529846,0,1
42734.33466529846,0,0
45784.34741973877,1,0
45785.09247779846,0,1
45786.09247779846,0,0
48836.10523223877,1,0
48836.85029029846,0,1
48837.85029029846,0,0
51887.86304473877,1,0
51888.60810279846,0,1
51889.60810279846,0,0
54939.62085723877,1,0
54940.36591529846,0,1
54941.36591529846,0,0
57991.37866973877,1,0
57992.12372779846,0,1
57993.12372779846,0,0
61043.13648223877,1,0
61043.88154029846,0,1
61044.88154029846,0,0
64094.89429473877,1,0
64095.63935279846,0,1
64096.63935279846,0,0
67146.65210723877,1,0
67147.39716529846,0,1
67148.39716529846,0,0
70198.40991973877,1,0
70199.15497779846,0,1
70200.15497779846,0,0
73250.16773223877,1,0
73250.91279029846,0,1
73251.91279029846,0,0
76301.92554473877,1,0
76302.67060279846,0,1
76303.67060279846,0,0
79353.68335723877,1,0
79354.42841529846,0,1
79355.42841529846,0,0
82405.44116973877,1,0
82406.18622779846,0,1
82407.18622779846,0,0
85457.19898223877,1,0
85457.94404029846,0,1
85458.94404029846,0,0
88508.95679473877,1,0
88509.70185279846,0,1
88510.70185279846,0,0
91560.71460723877,1,0
91561.45966529846,0,1
91562.45966529846,0,0
94612.47241973877,1,0
94613.21747779846,0,1
94614.21747779846,0,0
97664.23023223877,1,0
97664.97529029846,0,1
97665.97529029846,0,0
100715.98804473877,1,0
100716.73310279846,0,1
100717.73310279846,0,0
103767.74585723877,1,0
103768.49091529846,0,1
103769.49091529846,0,0
106819.50366973877,1,0
106820.24872779846,0,1
106821.24872779846,0,0
109872.26148223877,1,0
109873.00654029846,0,1
109874.00654029846,0,0
112925.76435279846,1,0
112926.50941085815,0,1
112927.50941085815,0,0
115979.26722335815,1,0
115980.01228141785,0,1
115981.01228141785,0,0
119032.77009391785,1,0
119033.51515197754,0,1
119034.51515197754,0,0
122086.52790641785,1,0
122087.27296447754,0,1
122088.27296447754,0,0
125139.03077697754,1,0
125139.77583503723,0,1
125140.77583503723,0,0
128192.53364753723,1,0
128193.27870559692,0,1
